og:50 op: 2 ig: 6 | 0.36 | 0.82 | 2025-10-08 15:49:42
og:50 op: 2 ig: 7 | 0.36 | 0.82 | 2025-10-08 15:49:43
og:50 op: 2 ig: 8 | 0.40 | 0.82 | 2025-10-08 15:49:44
og:50 op: 2 ig: 9 | 0.37 | 0.82 | 2025-10-08 15:49:44
og:50 op: 2 ig:10 | 0.27 | 0.82 | 2025-10-08 15:49:45
og:50 op: 2 ig:11 | 0.84 | 0.84 | 2025-10-08 15:49:45
og:50 op: 2 ig:12 | 0.32 | 0.84 | 2025-10-08 15:49:46
og:50 op: 2 ig:13 | 0.41 | 0.84 | 2025-10-08 15:49:46
og:50 op: 2 ig:14 | 0.48 | 0.84 | 2025-10-08 15:49:47
og:50 op: 2 ig:15 | 0.84 | 0.84 | 2025-10-08 15:49:47
og:50 op: 2 ig:16 | 0.65 | 0.84 | 2025-10-08 15:49:48
og:50 op: 2 ig:17 | 0.53 | 0.84 | 2025-10-08 15:49:48
og:50 op: 2 ig:18 | 0.93 | 0.93 | 2025-10-08 15:49:49
og:50 op: 2 ig:19 | 0.96 | 0.96 | 2025-10-08 15:49:49
og:50 op: 2 ig:20 | 0.75 | 0.96 | 2025-10-08 15:49:50
og:50 op: 2 ig:21 | 1.14 | 1.14 | 2025-10-08 15:49:50
og:50 op: 2 ig:22 | 0.46 | 1.14 | 2025-10-08 15:49:51
og:50 op: 2 ig:23 | 0.87 | 1.14 | 2025-10-08 15:49:51
og:50 op: 2 ig:24 | 0.83 | 1.14 | 2025-10-08 15:49:52
og:50 op: 2 ig:25 | 0.68 | 1.14 | 2025-10-08 15:49:53
og:50 op: 2 ig:26 | 0.47 | 1.14 | 2025-10-08 15:49:53
og:50 op: 2 ig:27 | 0.68 | 1.14 | 2025-10-08 15:49:54
og:50 op: 2 ig:28 | 0.90 | 1.14 | 2025-10-08 15:49:54
og:50 op: 2 ig:29 | 0.51 | 1.14 | 2025-10-08 15:49:55
og:50 op: 2 ig:30 | 1.16 | 1.16 | 2025-10-08 15:49:55
og:50 op: 2 ig:31 | 1.14 | 1.16 | 2025-10-08 15:49:56
og:50 op: 2 ig:32 | 0.71 | 1.16 | 2025-10-08 15:49:56
og:50 op: 2 ig:33 | 0.96 | 1.16 | 2025-10-08 15:49:57
og:50 op: 2 ig:34 | 0.62 | 1.16 | 2025-10-08 15:49:57
og:50 op: 2 ig:35 | 0.56 | 1.16 | 2025-10-08 15:49:58
og:50 op: 2 ig:36 | 1.05 | 1.16 | 2025-10-08 15:49:58
og:50 op: 2 ig:37 | 0.55 | 1.16 | 2025-10-08 15:49:59
og:50 op: 2 ig:38 | 0.61 | 1.16 | 2025-10-08 15:49:59
og:50 op: 2 ig:39 | 1.10 | 1.16 | 2025-10-08 15:50:00
og:50 op: 3 ig: 0 | -0.03 | -0.03 | 2025-10-08 15:50:00
og:50 op: 3 ig: 1 | 0.28 | 0.28 | 2025-10-08 15:50:01
og:50 op: 3 ig: 2 | 0.70 | 0.70 | 2025-10-08 15:50:01
og:50 op: 3 ig: 3 | 0.15 | 0.70 | 2025-10-08 15:50:02
og:50 op: 3 ig: 4 | 0.27 | 0.70 | 2025-10-08 15:50:03
og:50 op: 3 ig: 5 | 0.48 | 0.70 | 2025-10-08 15:50:03
og:50 op: 3 ig: 6 | 0.11 | 0.70 | 2025-10-08 15:50:04
og:50 op: 3 ig: 7 | 0.20 | 0.70 | 2025-10-08 15:50:04
og:50 op: 3 ig: 8 | 0.31 | 0.70 | 2025-10-08 15:50:05
og:50 op: 3 ig: 9 | 0.12 | 0.70 | 2025-10-08 15:50:05
og:50 op: 3 ig:10 | 0.65 | 0.70 | 2025-10-08 15:50:06
og:50 op: 3 ig:11 | 0.40 | 0.70 | 2025-10-08 15:50:06
og:50 op: 3 ig:12 | 0.28 | 0.70 | 2025-10-08 15:50:07
